score_bin,count,score_min,score_max,score_mean,confidence_median,original_ood_median,final_ood_median,panelness_anchor_max_median,panelness_nn1_median,dup_positive,score_col,ratio
0.20-0.25,6,0.2075702075702071,0.248270248270248,0.22792022792022795,0.9325922429561615,0.2279202279202282,0.1987469988934118,0.1603221083455344,0.07540263543191801,1,ood_score_original,0.004392386530014641
0.25-0.30,6,0.256410256410257,0.2971102971102979,0.276760276760277,0.9184744954109192,0.2767602767602768,0.09514066541885008,0.7430453879941434,0.45003660322108346,0,ood_score_original,0.004392386530014641
0.30-0.35,6,0.3052503052503055,0.3459503459503464,0.32560032560032576,0.8694616854190826,0.32560032560032603,0.08217013451274059,0.8305270863836018,0.13707906295754027,0,ood_score_original,0.004392386530014641
0.35-0.40,6,0.3540903540903541,0.394790394790395,0.3744403744403748,0.7704845070838928,0.3744403744403746,0.2842228943985903,0.2756222547584187,0.22456076134699854,0,ood_score_original,0.004392386530014641
0.40-0.45,6,0.4029304029304028,0.4436304436304437,0.42328042328042365,0.795309990644455,0.4232804232804238,0.2072296501286254,0.5717423133235724,0.07979502196193265,0,ood_score_original,0.004392386530014641
0.45-0.50,6,0.4517704517704526,0.4924704924704935,0.47212047212047265,0.7453330159187317,0.47212047212047237,0.20713892419602542,0.6387262079062958,0.08180819912152269,1,ood_score_original,0.004392386530014641
0.50-0.55,7,0.5006105006105012,0.5494505494505498,0.5250305250305255,0.9710662961006165,0.5250305250305255,0.3663691928699253,0.2979502196193265,0.07174231332357248,1,ood_score_original,0.005124450951683748
0.55-0.60,6,0.5575905575905588,0.5982905982905984,0.5779405779405785,0.875603199005127,0.5779405779405785,0.3212946426709239,0.5102489019033676,0.07210834553440704,0,ood_score_original,0.004392386530014641
0.60-0.65,6,0.6064306064306073,0.6471306471306482,0.6267806267806276,0.7920971214771271,0.6267806267806277,0.19379521026666,0.7668374816983894,0.3623718887262079,1,ood_score_original,0.004392386530014641
0.65-0.70,6,0.6552706552706559,0.6959706959706968,0.6756206756206763,0.7374021410942078,0.6756206756206764,0.4469618283673926,0.37701317715959004,0.0841874084919473,0,ood_score_original,0.004392386530014641
0.70-0.75,6,0.7041107041107045,0.7448107448107454,0.7244607244607252,0.9264096617698669,0.724460724460725,0.181895841266266,0.7693997071742313,0.0314787701317716,0,ood_score_original,0.004392386530014641
0.75-0.80,6,0.7529507529507543,0.793650793650794,0.7733007733007741,0.9438140392303467,0.7733007733007742,0.5591984475586241,0.28953147877013174,0.047218155197657395,0,ood_score_original,0.004392386530014641
0.80-0.85,6,0.801790801790803,0.8424908424908438,0.8221408221408232,0.7187091112136841,0.8221408221408233,0.1,0.9674231332357247,0.03587115666178624,0,ood_score_original,0.004392386530014641
0.85-0.90,7,0.8506308506308515,0.8994708994709001,0.875050875050876,0.818198025226593,0.8750508750508759,0.1,0.8125915080527086,0.034407027818448024,0,ood_score_original,0.005124450951683748
0.90-0.95,6,0.907610907610909,0.94831094831095,0.9279609279609291,0.6087610721588135,0.9279609279609289,0.09820094497986159,0.9882869692532943,0.01793557833089312,0,ood_score_original,0.004392386530014641
0.95-1.00,20,0.9564509564509576,1.0,0.9930402930402934,0.819014847278595,1.0,0.21859443631039532,0.8579795021961933,0.014275256222547585,1,ood_score_original,0.014641288433382138
0.00-0.05,1247,0.0,0.04825725762768219,0.0003489229937243961,0.997495710849762,0.0,0.0,0.5007320644216691,0.523792093704246,147,ood_score_v3_max,0.9128843338213762
0.05-0.10,45,0.05216070735836497,0.1,0.0854036054263808,0.7490174770355225,0.7773707773707786,0.08997718294936449,0.9795021961932651,0.07979502196193265,5,ood_score_v3_max,0.03294289897510981
0.10-0.15,6,0.10659865052251544,0.14853429201891902,0.12429879828610918,0.9731904864311218,0.17908017908017895,0.11925320490474206,0.3737188872620791,0.05929721815519766,0,ood_score_v3_max,0.004392386530014641
0.15-0.20,7,0.16137297982100376,0.19963697708939315,0.1851264038045049,0.8170126676559448,0.3622303622303631,0.19095231540326746,0.5183016105417276,0.13323572474377746,2,ood_score_v3_max,0.005124450951683748
0.20-0.25,9,0.20247972297752695,0.2467998624660414,0.22391772619526018,0.93514883518219,0.3459503459503464,0.22630086685723594,0.37042459736456806,0.08272327964860908,0,ood_score_v3_max,0.006588579795021962
0.25-0.30,6,0.263791682532532,0.2966088463892271,0.27973660379712134,0.8694985508918762,0.4151404151404155,0.2779218368530231,0.3488286969253294,0.4811493411420205,0,ood_score_v3_max,0.004392386530014641
0.30-0.35,9,0.30121456548982206,0.346857605276346,0.32378905791952817,0.6636272072792053,0.5901505901505907,0.3257493008591108,0.4978038067349927,0.02635431918008785,0,ood_score_v3_max,0.006588579795021962
0.35-0.40,5,0.35667805433544897,0.3856778761610393,0.365435237177551,0.9347654581069946,0.5168905168905178,0.36128198573293757,0.34333821376281115,0.02342606149341142,0,ood_score_v3_max,0.0036603221083455345
0.40-0.45,4,0.4063997387569863,0.4484497932521362,0.42830699748708556,0.6095319390296936,0.7000407000407006,0.4291892289696099,0.4403367496339678,0.03184480234260615,0,ood_score_v3_max,0.0029282576866764276
0.45-0.50,5,0.4545422854354047,0.48752391797779887,0.47287386979919976,0.9680124521255492,0.573870573870574,0.47745527613756034,0.18667642752562225,0.03294289897510981,1,ood_score_v3_max,0.0036603221083455345
0.50-0.55,2,0.5037225937665177,0.5354236349843966,0.5195731143754572,0.9612081944942474,0.573870573870574,0.5195731143754572,0.09553440702781846,0.566800878477306,0,ood_score_v3_max,0.0014641288433382138
0.55-0.60,3,0.5578435175799751,0.5858946649576233,0.5683023752813904,0.9254149794578552,0.8262108262108272,0.5611689433065725,0.3601756954612006,0.017569546120058566,0,ood_score_v3_max,0.0021961932650073207
0.60-0.65,4,0.6057164190399921,0.6419984494655073,0.620069514835255,0.5917229652404785,0.8465608465608476,0.6162815954177603,0.30966325036603226,0.02452415812591508,0,ood_score_v3_max,0.0029282576866764276
0.65-0.70,3,0.6586407735748881,0.6787950404348653,0.6658727278541829,0.9126322269439696,0.7529507529507543,0.6601823695527953,0.13689604685212298,0.012445095168374817,0,ood_score_v3_max,0.0021961932650073207
0.70-0.75,2,0.7395653259489284,0.7423865300146413,0.7409759279817849,0.8850682079792023,0.9375254375254379,0.7409759279817849,0.22913616398243045,0.4485724743777452,0,ood_score_v3_max,0.0014641288433382138
0.75-0.80,3,0.7565285427657324,0.7679668631352387,0.7635617640498076,0.9366352558135986,0.7855107855107863,0.7661898862484519,0.040995607613469986,0.7185212298682284,0,ood_score_v3_max,0.0021961932650073207
0.80-0.85,0,,,,,,,,,0,ood_score_v3_max,0.0
0.85-0.90,2,0.8626403421425395,0.8936266000687679,0.8781334711056537,0.3739963769912719,0.9564509564509576,0.8781334711056537,0.09077598828696926,0.030380673499267936,0,ood_score_v3_max,0.0014641288433382138
0.90-0.95,0,,,,,,,,,0,ood_score_v3_max,0.0
