score_bin,count,score_min,score_max,score_mean,confidence_median,raw_model_disagreement_median,knn10_label_disagreement_median,dup_positive,score_col,ratio
0.30-0.35,6,0.3159856864179686,0.34869055980181696,0.3298755133621149,0.5163257420063019,0.44889846444129944,0.6,0,mislabel_score_v2_mul,0.004392386530014641
0.35-0.40,7,0.357548835019306,0.39613734476572127,0.37494206996344065,0.3502888679504394,0.6263481378555298,0.6,2,mislabel_score_v2_mul,0.005124450951683748
0.40-0.45,2,0.40786027924913687,0.41791470498935024,0.4128874921192436,0.16782218217849726,0.5839110910892487,0.5,0,mislabel_score_v2_mul,0.0014641288433382138
0.45-0.50,2,0.4599974102040672,0.4889861426367437,0.47449177642040546,0.18108046054840085,0.5905402302742004,0.6499999999999999,0,mislabel_score_v2_mul,0.0014641288433382138
0.50-0.55,0,,,,,,,0,mislabel_score_v2_mul,0.0
0.55-0.60,4,0.5536740642319481,0.5831136293899081,0.5731201147984721,0.22455984354019165,0.6122799217700958,0.8500000000000001,0,mislabel_score_v2_mul,0.0029282576866764276
0.60-0.65,0,,,,,,,0,mislabel_score_v2_mul,0.0
0.65-0.70,3,0.6640748381614685,0.6779015721606112,0.668823109480635,0.4291419982910156,0.7145709991455078,0.9,1,mislabel_score_v2_mul,0.0021961932650073207
0.70-0.75,2,0.7290724061805894,0.7388601189499338,0.7339662625652617,0.641198456287384,0.820599228143692,0.8,0,mislabel_score_v2_mul,0.0014641288433382138
0.75-0.80,2,0.7501294525840667,0.7583810091018677,0.7542552308429672,0.597051203250885,0.7985256314277649,0.9,0,mislabel_score_v2_mul,0.0014641288433382138
0.80-0.85,5,0.8172011160389452,0.8483768668983656,0.8302794970514773,0.788535475730896,0.894267737865448,0.9,0,mislabel_score_v2_mul,0.0036603221083455345
0.85-0.90,7,0.851296191950275,0.8996885530990049,0.8853462392781987,0.8549486994743347,0.9274743795394896,0.9,0,mislabel_score_v2_mul,0.005124450951683748
0.90-0.95,16,0.9034049920035225,0.948473003733182,0.9322776129904669,0.9327557981014252,0.9663779139518738,0.9,3,mislabel_score_v2_mul,0.01171303074670571
0.95-1.00,14,0.9591639637947084,0.9999746084213256,0.9874847382307052,0.9905537962913513,0.9952768683433533,1.0,1,mislabel_score_v2_mul,0.010248901903367497
